pos_01,pos_02,pos_03,pos_04,pos_05,pos_06,pos_07,pos_08,pos_09,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30,pos_31,pos_32,pos_33,pos_34,pos_35,pos_36,pos_37,pos_38,pos_39,pos_40,pos_41,pos_42,winner
0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,1,0,0,0,1,-1,1,-1,0,0,0,-1,1,-1,1,1,0,-1,-1,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,0,1,-1,1,0,0,-1,1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,-1,-1,-1,-1,1,0,-1
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,-1,0,0,0,1,-1,0,-1,0,-1,1,-1,1,1,-1,0,1,-1,-1,-1,1,1,0,1
0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,1,0,0,0,1,-1,1,1,0,0,-1,-1,1,-1,1,0,0,-1
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,1,0,0,0,1,1,-1,1,0,0,0,1,-1,1,-1,0,0,0,-1,1,1,-1,-1,0,-1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,1,0,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1
0,1,0,-1,0,0,0,0,-1,1,1,0,0,0,0,1,1,-1,0,0,0,0,1,-1,1,-1,0,0,1,1,-1,1,1,-1,0,-1,-1,-1,1,-1,-1,1,1
-1,0,0,1,0,0,0,1,-1,0,1,0,0,0,-1,-1,1,-1,0,-1,0,-1,1,1,1,1,1,0,-1,-1,-1,1,1,-1,0,1,1,-1,-1,1,-1,0,1
0,0,-1,0,-1,0,0,0,0,1,1,-1,0,0,0,0,-1,1,-1,0,0,0,0,-1,1,1,0,0,0,0,-1,1,1,-1,0,-1,0,1,-1,1,1,1,1
0,0,0,-1,-1,0,0,0,0,-1,-1,1,0,0,0,0,-1,1,1,0,0,0,0,1,-1,-1,1,0,0,1,1,1,-1,-1,0,1,-1,1,-1,1,1,-1,1
0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,1,-1,0,0,0,-1,1,-1,-1,0,0,0,1,-1,1,1,0,0,1,1,-1,1,-1,0,0,1
0,-1,0,1,0,0,0,-1,-1,0,1,0,0,0,1,1,0,-1,0,0,0,1,1,0,-1,0,0,0,-1,1,1,-1,0,0,-1,1,-1,-1,1,0,0,1,1
0,0,-1,0,0,0,0,0,0,1,0,-1,0,0,1,0,-1,0,1,0,0,1,0,-1,1,1,1,0,-1,-1,-1,-1,1,-1,0,1,1,1,-1,-1,-1,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,-1,0,-1,1,1,0,0,1,-1,1,-1,-1,0,0,-1,1,-1,-1,1,1,0,-1
-1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,-1,0
1,-1,-1,1,1,-1,0,-1,1,-1,-1,1,-1,0,-1,1,1,1,-1,1,0,1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,0,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,-1,1,0,-1,1,-1,-1,-1,1,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,1,-1,-1,1,0,0,0,1,-1,-1,-1,1,1
0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,-1,1,-1,1,1,0,0,-1,-1,1,1,1,-1,0,1,1,-1,-1,-1,1,0,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,1,0,0,1,1,-1,1,-1,-1,-1,-1,-1
0,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,-1,-1,1,1,0,0,-1,-1,1,-1,-1,0,0,1,1,1,-1,1,0,0,1,-1,1,-1,-1,-1,1,1
0,0,1,0,-1,0,0,0,0,-1,0,1,0,0,-1,-1,1,0,1,0,0,1,1,-1,0,1,0,0,-1,1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,0,-1
0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,-1,0,0,0,1,1,1,1,0,0,0,1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,-1,1
0,-1,0,1,0,0,0,0,-1,0,1,0,0,0,0,1,0,-1,0,0,0,0,-1,0,-1,0,0,0,-1,1,1,1,1,0,0,-1,1,1,-1,-1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,1,-1,-1,-1,0,0,1,1,1,-1,1,0,0,1,-1,-1,1,-1,1,0,1,-1
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,-1,0,0,0,-1,1,1,-1,0,0,0,1,1,-1,-1,0,0,-1,1
0,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,-1,-1,1,0,0,0,0,-1,-1,1,0,0,1,-1,-1,1,-1,0,1,1,1,-1,-1,1,0,-1,-1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,-1,0,0,-1,0,0,-1,1,0,0,1,0,-1,-1,1,0,0,1,-1,1,1,-1,0,-1
0,0,0,1,0,0,0,-1,0,-1,1,0,0,0,1,-1,1,1,0,0,0,-1,1,-1,-1,1,-1,0,-1,1,1,-1,-1,-1,0,1,1,-1,-1,1,1,0,-1
0,0,0,-1,0,-1,0,0,0,1,1,1,1,0,0,0,-1,-1,1,1,0,0,1,-1,1,-1,-1,0,1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1
0,0,-1,1,1,0,0,-1,0,1,1,1,-1,0,-1,1,-1,-1,-1,1,0,1,-1,-1,-1,1,1,0,-1,-1,1,1,-1,-1,0,1,1,-1,-1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,-1,0,0,-1,1,0,1,1,0,-1,1,-1,0,-1,-1,-1,1,-1,1,0,-1
0,-1,0,-1,-1,0,0,0,-1,1,1,1,0,0,1,1,1,-1,-1,0,0,1,1,-1,1,1,0,0,-1,-1,1,-1,-1,0,-1,1,1,-1,1,-1,0,1,1
